58, x, 0, 1, 26, 1999, 16, 31, 7.11, 3147, 20598, 1523, 50769, 344, 4, "13, 20, 33, 46, 6, 49, 7, 5", 1993, 25991, 2051, 2526, 18208, 50769,
60, x, 0, 10, 24, 2003, 16, 9, 7.76, 963, 78834, 485, 165658, 1913, 4, "2, 38, 50, 15, 20", 6591, 101013, 8740, 8123, 41191, 165658,
62, x, 0, 51, 26, 2003, 8, 12, 6.87, 4026, 24076, 1408, 56620, 183, 9, "52, 5, 45, 20", 2306, 31621, 2513, 3323, 16857, 56620,
64, x, 0, 10, 12, 2004, 8, 12, 7.53, 1568, 74342, 555, 148382, 1896, 8, "2, 4, 5, 45, 24", 4407, 97698, 5294, 6609, 34374, 148382,
66, x, 0, 53, 26, 2002, 8, 12, 8.04, 502, 97404, 370, 203690, 4368, 5, "54, 4, 28", 9907, 117493, 13577, 10790, 51923, 203690,
68, x, 0, 10, 23, 2005, 8, 12, 7.49, 1658, 89297, 432, 182212, 1703, 4, "13, 4, 6, 11, 26", 7946, 114811, 9884, 8413, 41158, 182212,
72, x, 0, 55, 12, 2003, 8, 12, 8.15, 370, 127624, 365, 204627, 2670, 6, "2, 4, 28", 3861, 167700, 3571, 2650, 26845, 204627,
74, x, 0, 10, 26, 2004, 57, 58, 7.77, 942, 33274, 1294, 63040, 1405, 2, "18, 28, 56, 26", 1904, 44259, 2395, 2351, 12131, 63040,
76, x, 0, 1, 13, 2004, 57, 12, 7.49, 1669, 31549, 1130, 73539, 932, 9, "2, 4, 5, 45, 26", 2556, 40911, 2494, 2166, 25412, 73539,
80, x, 0, 1, 43, 1979, 57, 12, 7.87, 761, 29389, 1217, 67143, 1346, 50, "2, 7, 33, 46, 6", 4950, 37372, 4093, 2191, 18537, 67143,
82, x, 37, 1, 6, 1989, 25, 12, 7.87, 762, 16281, 2126, 29737, 455, 8, "59, 6, 7, 5, 33", 584, 21006, 445, 256, 7446, 29737,
84, x, 37, 1, 13, 1991, 40, 12, 7.42, 1942, 14183, 2364, 25007, 185, 12, "59, 6, 3, 7, 5, 20, 33", 632, 18408, 571, 314, 5082, 25007,
86, x, 0, 1, 47, 1986, 8, 12, 6.76, 4509, 10165, 2546, 21917, 73, 12, "60, 4, 33, 46, 5, 6", 1116, 12976, 1071, 641, 6113, 21917,
88, x, 34, 61, 1, 1991, 62, 12, 6.82, 4244, 9153, 2928, 16672, 38, 8, "59, 6, 7, 5, 33", 211, 12100, 168, 119, 4074, 16672,
90, x, 0, 1, 49, 1995, 8, 12, 7.84, 815, 59967, 848, 103052, 2223, 12, "2, 46, 6, 7, 5, 33", 4007, 76858, 4726, 3393, 14068, 103052,
92, x, 0, 1, 39, 1996, 8, 12, 7.38, 2116, 9871, 2505, 22496, 161, 4, "13, 7, 33, 5, 6", 1140, 12800, 1476, 758, 6322, 22496,
94, x, 0, 1, 50, 2004, 8, 9, 7.32, 2349, 46236, 1099, 75377, 1124, 10, "2, 7, 33, 20, 46, 5, 6", 1727, 59562, 2025, 2351, 9712, 75377,
96, x, 0, 1, 49, 1994, 8, 12, 7.61, 1330, 24011, 1695, 43388, 729, 5, "35, 3, 7, 4, 23, 5, 20, 27, 33", 1709, 31193, 1992, 1231, 7263, 43388,
98, x, 0, 1, 26, 2004, 16, 12, 7.55, 1501, 41274, 989, 86137, 1206, 7, "2, 4, 5, 14, 45, 33, 20, 28, 63", 2656, 53568, 3255, 3575, 23083, 86137,
100, x, 0, 10, 13, 2001, 16, 12, 7.3, 2439, 20975, 1688, 43531, 404, 2, "18, 5, 14, 45, 20, 56, 26", 1243, 28137, 1286, 1442, 11423, 43531,
102, x, 0, 10, 26, 2004, 57, 12, 7.55, 1482, 39343, 1121, 74052, 501, 2, "18, 5, 20, 56", 3036, 50011, 3458, 4097, 13450, 74052,
104, x, 0, 10, 24, 2000, 64, 9, 7.34, 2264, 20568, 1676, 43957, 486, 2, "13, 4, 49, 30, 15, 5, 20, 56", 1623, 26626, 2161, 2827, 10720, 43957,
106, x, 0, 10, 51, 1996, 57, 12, 7.85, 790, 14485, 1936, 34959, 622, 4, "65, 20, 28, 56", 1711, 18839, 1691, 2122, 10596, 34959,
108, x, 37, 61, 3, 2004, 40, 12, 7.39, 2083, 4530, 3711, 9828, 24, 2, "13, 14, 30, 4, 11", 200, 6508, 177, 116, 2827, 9828,
110, x, 0, 10, 52, 1997, 16, 12, 7.7, 1101, 4750, 3585, 10628, 81, 2, "2, 4, 5, 11", 570, 6100, 618, 582, 2758, 10628,
112, x, 0, 1, 8, 2004, 67, 12, 5.05, 9008, 2277, 4469, 6228, 5, 6, "2, 66, 3, 14, 45, 4, 26, 6", 192, 3125, 222, 480, 2209, 6228,
