92, Kidou Shinseiki Gundam X, TV, Original, 39, 1996-04-05, 24 min. per ep., PG-13 - Teens 13 or older, 7.38, 2116, 9871, 2505, 22496, 161, 4, "Adventure, Space, Mecha, Drama, Sci-Fi, ", 1140, 12800, 1476, 758, 6322, 22496
94, Mobile Suit Gundam SEED Destiny, TV, Original, 50, 2004-10-09, 24 min. per ep., R - 17+ (violence & profanity), 7.32, 2349, 46236, 1099, 75377, 1124, 10, "Action, Space, Mecha, Romance, Military, Drama, Sci-Fi, ", 1727, 59562, 2025, 2351, 9712, 75377
96, Mobile Fighter G Gundam, TV, Original, 49, 1994-04-01, 24 min. per ep., PG-13 - Teens 13 or older, 7.61, 1330, 24011, 1695, 43388, 729, 5, "Sci-Fi, Adventure, Space, Comedy, Sports, Drama, Romance, Martial Arts, Mecha, ", 1709, 31193, 1992, 1231, 7263, 43388
98, Mai-HiME, TV, Original, 26, 2004-09-30, 23 min. per ep., PG-13 - Teens 13 or older, 7.55, 1501, 41274, 989, 86137, 1206, 7, "Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai, ", 2656, 53568, 3255, 3575, 23083, 86137
100, Shin Shirayuki-hime Densetsu Prétear, TV, Manga, 13, 2001-04-04, 23 min. per ep., PG-13 - Teens 13 or older, 7.3, 2439, 20975, 1688, 43531, 404, 2, "Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power, ", 1243, 28137, 1286, 1442, 11423, 43531
102, Aishiteruze Baby★★, TV, Manga, 26, 2004-04-03, 25 min. per ep., PG-13 - Teens 13 or older, 7.55, 1482, 39343, 1121, 74052, 501, 2, "Comedy, Drama, Romance, Shoujo, ", 3036, 50011, 3458, 4097, 13450, 74052
104, Ayashi no Ceres, TV, Manga, 24, 2000-04-20, 21 min. per ep., R - 17+ (violence & profanity), 7.34, 2264, 20568, 1676, 43957, 486, 2, "Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo, ", 1623, 26626, 2161, 2827, 10720, 43957
106, Hana yori Dango, TV, Manga, 51, 1996-09-08, 25 min. per ep., PG-13 - Teens 13 or older, 7.85, 790, 14485, 1936, 34959, 622, 4, "Drama, Romance, School, Shoujo, ", 1711, 18839, 1691, 2122, 10596, 34959
108, Ou Dorobou Jing in Seventh Heaven, OVA, Unknown, 3, 2004-01-21, 30 min. per ep., PG-13 - Teens 13 or older, 7.39, 2083, 4530, 3711, 9828, 24, 2, "Adventure, Fantasy, Psychological, Comedy, Shounen, ", 200, 6508, 177, 116, 2827, 9828
110, Chuuka Ichiban!, TV, Manga, 52, 1997-04-27, 23 min. per ep., PG-13 - Teens 13 or older, 7.7, 1101, 4750, 3585, 10628, 81, 2, "Action, Comedy, Drama, Shounen, ", 570, 6100, 618, 582, 2758, 10628
112, Chou Henshin Cosprayers, TV, Original, 8, 2004-01-12, 14 min. per ep., PG-13 - Teens 13 or older, 5.05, 9008, 2277, 4469, 6228, 5, 6, "Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi, ", 192, 3125, 222, 480, 2209, 6228
114, Sakigake!! Cromartie Koukou, TV, Manga, 26, 2003-10-03, 12 min. per ep., PG-13 - Teens 13 or older, 8, 559, 34483, 992, 85281, 1313, 2, "Comedy, School, Shounen, ", 6276, 39686, 6501, 3799, 29019, 85281
116, El Hazard: The Wanderers, TV, Original, 26, 1995-10-06, 23 min. per ep., PG-13 - Teens 13 or older, 7.06, 3330, 4912, 3510, 11235, 29, 2, "Adventure, Comedy, Romance, Fantasy, ", 399, 6776, 523, 517, 3020, 11235
118, El Hazard 2: The Magnificent World, OVA, Original, 4, 1997-03-21, 30 min. per ep., PG-13 - Teens 13 or older, 6.95, 3735, 3237, 4391, 6485, 5, 4, "Adventure, Comedy, Fantasy, ", 106, 4746, 142, 88, 1403, 6485
120, Fruits Basket, TV, Manga, 26, 2001-07-05, 24 min. per ep., PG-13 - Teens 13 or older, 7.77, 940, 168193, 222, 293153, 7589, 2, "Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo, ", 8763, 218271, 9916, 11585, 44618, 293153
122, Full Moon wo Sagashite, TV, Manga, 52, 2002-04-06, 24 min. per ep., PG-13 - Teens 13 or older, 8.05, 490, 31232, 1161, 71078, 1571, 4, "Music, Comedy, Supernatural, Drama, Romance, Shoujo, ", 2924, 41063, 4067, 4504, 18520, 71078
124, Fushigi Yuugi: Eikouden, OVA, Manga, 4, 2001-12-21, 30 min. per ep., PG-13 - Teens 13 or older, 6.98, 3634, 6994, 3300, 13128, 65, 4, "Adventure, Fantasy, Romance, Drama, Shoujo, ", 188, 9989, 185, 171, 2595, 13128
126, Futakoi Alternative, TV, Original, 13, 2005-04-07, 24 min. per ep., PG-13 - Teens 13 or older, 6.99, 3590, 9376, 2384, 24668, 57, 4, "Comedy, Drama, Romance, ", 902, 12542, 1009, 1367, 8848, 24668
128, Gate Keepers 21, OVA, Game, 6, 2002-04-24, 30 min. per ep., PG-13 - Teens 13 or older, 6.87, 4030, 3693, 3996, 8200, 21, 2, "Action, Drama, Mecha, Sci-Fi, Shounen, ", 161, 5297, 253, 235, 2254, 8200
130, Saiyuuki Reload, TV, Manga, 25, 2003-10-02, 20 min. per ep., PG-13 - Teens 13 or older, 7.51, 1618, 8943, 2506, 22489, 100, 7, "Action, Adventure, Comedy, Drama, Fantasy, Josei, ", 1011, 12474, 1016, 947, 7041, 22489
132, GetBackers, TV, Manga, 49, 2002-10-05, 24 min. per ep., PG-13 - Teens 13 or older, 7.69, 1127, 37325, 988, 86215, 821, 2, "Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural, ", 4478, 46709, 7136, 6231, 21661, 86215
134, Gunslinger Girl, TV, Manga, 13, 2003-10-09, 24 min. per ep., R - 17+ (violence & profanity), 7.51, 1611, 55133, 656, 128499, 999, 4, "Action, Psychological, Military, Drama, Sci-Fi, ", 5130, 68834, 6577, 6514, 41444, 128499
136, Hunter x Hunter, TV, Manga, 62, 1999-10-16, 23 min. per ep., PG-13 - Teens 13 or older, 8.47, 118, 115441, 313, 230271, 5945, 8, "Action, Adventure, Shounen, Super Power, ", 12310, 151369, 8826, 8398, 49368, 230271
138, Hunter x Hunter: Greed Island, OVA, Manga, 8, 2003-02-05, 22 min. per ep., PG-13 - Teens 13 or older, 8.3, 237, 44555, 1128, 73674, 215, 8, "Action, Adventure, Shounen, Super Power, ", 955, 63668, 542, 446, 8063, 73674
142, Kamikaze Kaitou Jeanne, TV, Manga, 44, 1999-02-13, 24 min. per ep., PG-13 - Teens 13 or older, 7.52, 1579, 19149, 1890, 36552, 408, 2, "Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo, ", 1126, 26101, 1454, 1612, 6259, 36552
144, Kanon, TV, Visual novel, 13, 2002-01-31, 24 min. per ep., G - All Ages, 7.22, 2723, 20225, 1595, 47232, 249, 7, "Drama, Romance, Slice of Life, Supernatural, ", 1123, 27998, 1294, 2192, 14625, 47232
